Source,Target,Type,Id,Label,Weight
Hypochaeris_radicata,Allograpta_sp1,Undirected,38951,,1
Ozothamnus_leptophyllus,Allograpta_sp6,Undirected,38952,,1
Cirsium_arvense,Apis_mellifera_,Undirected,38953,,1
Hypochaeris_radicata,Apis_mellifera_,Undirected,38954,,1
Lothus_pedunculatus,Apis_mellifera_,Undirected,38955,,1
Rosa_rubiginosa,Apis_mellifera_,Undirected,38956,,1
Rubus_fruticosus,Apis_mellifera_,Undirected,38957,,1
Trifolium_repens,Apis_mellifera_,Undirected,38958,,1
Hypochaeris_radicata,Argyropenga_lost,Undirected,38959,,1
Achillea_millefolium,Argyrophenga_antipodum,Undirected,38960,,1
Cirsium_arvense,Argyrophenga_antipodum,Undirected,38961,,1
Leucanthemum_vulgare,Argyrophenga_antipodum,Undirected,38962,,1
Wahelenbergia_albuminata,Argyrophenga_antipodum,Undirected,38963,,1
Achillea_millefolium,Asilidae,Undirected,38964,,1
Cirsium_arvense,Bombus_hortorum,Undirected,38965,,1
Digitalis_purpurea,Bombus_hortorum,Undirected,38966,,1
Rubus_fruticosus,Bombus_hortorum,Undirected,38967,,1
Trifolium_pratense_,Bombus_hortorum,Undirected,38968,,1
Vicia_sativa,Bombus_hortorum,Undirected,38969,,1
Wahelenbergia_albuminata,Bombus_hortorum,Undirected,38970,,1
Achillea_millefolium,Bombus_terrestris,Undirected,38971,,1
Cirsium_arvense,Bombus_terrestris,Undirected,38972,,1
Digitalis_purpurea,Bombus_terrestris,Undirected,38973,,1
Hypochaeris_radicata,Bombus_terrestris,Undirected,38974,,1
Lothus_pedunculatus,Bombus_terrestris,Undirected,38975,,1
Ozothamnus_leptophyllus,Bombus_terrestris,Undirected,38976,,1
Trifolium_pratense_,Bombus_terrestris,Undirected,38977,,1
Trifolium_repens,Bombus_terrestris,Undirected,38978,,1
Ozothamnus_leptophyllus,Chironomidae,Undirected,38979,,1
Cirsium_arvense,Dasytes_sp,Undirected,38980,,1
Ozothamnus_leptophyllus,Dasytes_sp,Undirected,38981,,1
Achillea_millefolium,Dilophus_sp,Undirected,38982,,1
Cirsium_arvense,Dilophus_sp,Undirected,38983,,1
Leptospermum_scoparium,Dilophus_sp,Undirected,38984,,1
Leucanthemum_vulgare,Dilophus_sp,Undirected,38985,,1
Muhelenbeckia_complexa,Dilophus_sp,Undirected,38986,,1
Trifolium_pratense_,Dilophus_sp,Undirected,38987,,1
Cirsium_arvense,Dolichopodidae,Undirected,38988,,1
Ozothamnus_leptophyllus,Dolichopodidae,Undirected,38989,,1
Ozothamnus_leptophyllus,Ephydridae,Undirected,38990,,1
Ozothamnus_leptophyllus,Erythronychia_sp.,Undirected,38991,,1
Ozothamnus_leptophyllus,Exapion_ulicis,Undirected,38992,,1
Wahelenbergia_albuminata,Hylaeus_asperithorax,Undirected,38993,,1
Cirsium_arvense,Hylaeus_capitosus,Undirected,38994,,1
Corokia_cotonoaster,Hylaeus_capitosus,Undirected,38995,,1
Muhelenbeckia_complexa,Hylaeus_capitosus,Undirected,38996,,1
Cirsium_arvense,Hylaeus_relegatus,Undirected,38997,,1
Hebe_brachysiphon,Hylaeus_relegatus,Undirected,38998,,1
Ozothamnus_leptophyllus,Hylaeus_relegatus,Undirected,38999,,1
Vicia_sativa,Hylaeus_relegatus,Undirected,39000,,1
Wahelenbergia_albuminata,Lasioglossum,Undirected,39001,,1
Brachyglottis_sp,Lasioglossum_mataroa,Undirected,39002,,1
Cirsium_arvense,Lasioglossum_mataroa,Undirected,39003,,1
Ozothamnus_leptophyllus,Lasioglossum_mataroa,Undirected,39004,,1
Cirsium_arvense,Lasioglossum_sordidum,Undirected,39005,,1
Corokia_cotonoaster,Lasioglossum_sordidum,Undirected,39006,,1
Hieracium_pillosela,Lasioglossum_sordidum,Undirected,39007,,1
Hypochaeris_radicata,Lasioglossum_sordidum,Undirected,39008,,1
Leptospermum_scoparium,Lasioglossum_sordidum,Undirected,39009,,1
Leucanthemum_vulgare,Lasioglossum_sordidum,Undirected,39010,,1
Ozothamnus_leptophyllus,Lasioglossum_sordidum,Undirected,39011,,1
Wahelenbergia_albuminata,Lasioglossum_sordidum,Undirected,39012,,1
Cirsium_arvense,Leioproctus_.waipounamu,Undirected,39013,,1
