,Chiroxiphia caudata,Coereba flaveola,Cyclarhis gujanensis,Dacnis cayana,Elaenia flavogaster,Euphonia pectoralis,Habia rubica,Megarynchus pitangua,Myiarchus ferox,Myiodynastes maculatus,Myiozetetes similis,Setophaga pitiayumi,Picumnus cirratus,Pitangus sulphuratus,Turdus flavipes ,Ramphocelus bresilius,Saltator similis,Tachyphonus coronatus,Tangara cayana,Thraupis cyanocephala,Thraupis palmarum,Thraupis sayaca,Trichothraupis melanops,Turdus albicollis,Turdus amaurochalinus,Turdus leucomelas,Turdus rufiventris,Tyrannus melancholicus,Vireo olivaceus,Zonotrichia capensis
Aegiphila integrifolia,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0
Clusia criuva,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Citharexylum myrianthum,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
Euterpe oleracea,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Erythroxylum sp1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
Guapira sp,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Livistona chinensis,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1
Miconia albicans,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
Miconia cinnamomifolia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Myrcia splendens,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0
Myrcia ferruginea,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0
Myrsine umbellata,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0
Schinus terebinthifolius,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0
